Disk radius 0.128 m, TANGENTIAL_SIGN +1, rotations valid (det=+1)
  Sensor1 (CS 8): DEVID=0xE5 OK
  Sensor2 (CS 7): DEVID=0xE5 OK
  Sensor3 (CS 5): DEVID=0xE5 OK
  Sensor4 (CS 6): DEVID=0xE5 OK
  calibration: loaded from disk_calib.json
  orientation: measured per board

  t(s)     alpha_x   alpha_y   alpha_z   |wz|    resid
    9.13    -1.255    +0.994    -5.443   0.799   0.049
    9.15    -0.164    -0.730    -3.776   1.098   0.070
    9.18    -0.838    -1.642    -3.304   1.215   0.042
    9.20    +0.753    -0.636    +3.224   1.252   0.128
    9.22    -2.343    +0.639    +7.922   1.019   0.086
    9.25    +0.040    +1.703    +2.377   0.890   0.092
    9.27    -2.982    +0.667    -5.603   0.583   0.037
    9.29    +0.358    -1.429    -6.997   1.048   0.049
    9.32    -0.969    -2.036    -3.248   1.130   0.056
    9.34    +1.327    -0.098    +3.107   1.211   0.064
    9.37    -1.594    +1.874    +6.744   1.116   0.042
    9.39    -0.262    +1.616    +3.688   0.933   0.103
    9.41    -2.257    -0.869    -2.909   0.754   0.052
    9.44    -1.070    -1.884    -6.801   0.915   0.032
    9.46    -0.061    -1.544    -3.438   1.073   0.056
    9.48    +0.446    +0.997    +0.532   1.232   0.065
    9.51    -0.997    +1.460    +7.672   1.132   0.051
    9.53    -0.378    +1.262    +2.875   0.938   0.096
    9.56    -1.310    -0.513    -2.522   0.659   0.043
    9.58    -1.686    -1.980    -9.282   1.069   0.067
    9.60    +0.645    -1.140    -3.623   1.202   0.064
    9.63    +0.770    +0.170    -0.084   1.300   0.050
    9.65    +0.068    +1.839    +8.644   1.189   0.036
    9.68    -1.407    +1.468    +3.598   0.868   0.068
    9.70    -1.451    -0.936    -2.835   0.587   0.049
    9.72    -0.963    -0.902    -8.787   0.952   0.085
    9.75    +1.588    -0.348    -4.830   1.276   0.050
    9.77    +0.746    +0.171    +2.683   1.320   0.075
    9.79    -0.073    +1.198    +7.737   1.216   0.020
    9.82    -2.019    +1.569    +2.721   1.043   0.081
    9.84    -1.488    -0.248    -7.023   0.984   0.070
    9.87    -1.284    -1.585    -6.505   1.226   0.053
    9.89    +0.403    -2.211    -2.150   1.369   0.106
    9.91    +0.752    -0.980    +6.546   1.367   0.077
    9.94    -1.114    +1.071    +5.623   1.160   0.064
    9.96    -1.675    +3.034    -5.931   1.079   0.039
    9.99    -1.191    -0.264    -6.961   1.387   0.039
   10.01    +0.217    -2.556    -2.833   1.494   0.056
   10.04    +1.531    -1.842    +6.355   1.524   0.096
   10.06    -1.242    +0.176    +3.813   1.286   0.093
   10.09    -1.416    +3.976    -5.727   1.091   0.087
   10.11    -1.864    +1.453    -6.027   1.349   0.090
   10.13    -1.336    +0.020    -1.197   1.440   0.030
   10.15    +1.132    -3.541    +5.104   1.458   0.077
   10.17    -0.511    -2.305    +5.096   1.162   0.095
   10.20    -0.299    +1.176    +0.176   1.160   0.017
   10.22    -2.263    +2.860    -7.037   1.187   0.037
   10.24    -1.998    +2.233    -4.086   1.331   0.029
   10.26    -0.730    -0.127    -0.336   1.405   0.052
   10.28    +0.315    -3.314    +8.613   1.432   0.045
   10.31    +0.590    -1.657    +5.586   1.061   0.050
   10.33    -0.226    +0.374    -2.179   0.949   0.071
   10.35    -1.411    +2.148    -6.045   1.218   0.076
   10.37    -2.417    +2.347    -2.256   1.133   0.043
   10.39    -0.567    -0.801    -0.059   1.233   0.058
   10.42    +0.371    -1.339    +5.873   1.302   0.072
   10.44    +0.383    -2.588    +8.884   0.985   0.051
   10.46    +0.105    +0.158    -0.220   0.845   0.048
   10.48    -1.904    +2.016    -7.999   0.898   0.058
   10.50    -0.768    +1.000    -4.707   1.210   0.061
   10.53    -2.197    +0.273    -0.158   1.104   0.026
   10.55    +0.685    -1.080    +2.047   1.146   0.096
