t_sec,alpha_x,alpha_y,alpha_z,omega_z_abs,residual_rms,a_c_x,a_c_y,a_c_z,s1_raw_x,s1_raw_y,s1_raw_z,s1_cal_x,s1_cal_y,s1_cal_z,s1_disk_x,s1_disk_y,s1_disk_z,s2_raw_x,s2_raw_y,s2_raw_z,s2_cal_x,s2_cal_y,s2_cal_z,s2_disk_x,s2_disk_y,s2_disk_z,s3_raw_x,s3_raw_y,s3_raw_z,s3_cal_x,s3_cal_y,s3_cal_z,s3_disk_x,s3_disk_y,s3_disk_z,s4_raw_x,s4_raw_y,s4_raw_z,s4_cal_x,s4_cal_y,s4_cal_z,s4_disk_x,s4_disk_y,s4_disk_z
0.7237,-1.430058,-1.489442,7.396695,0.885903,0.059482,-0.025535,-0.997148,9.795683,-0.117,-0.117,0.9672,-0.09428,-0.1106,0.97526,-0.92455,-1.08461,9.56402,-0.0663,0.0,0.9399,-0.10192,-0.03462,1.01791,-0.23935,-0.04484,10.03495,-0.1638,-0.039,0.9945,-0.1296,-0.05489,1.01292,1.01607,-0.96782,9.93011,-0.1404,-0.0351,1.0023,-0.10281,-0.05849,0.99613,0.04569,-1.89133,9.65365
0.7456,0.159949,1.242738,2.509943,0.698405,0.051976,-0.027255,-0.800662,9.844212,-0.0546,-0.0858,0.9906,-0.03444,-0.07984,0.99931,-0.33772,-0.78292,9.79993,-0.0117,0.0117,0.9165,-0.04881,-0.02338,0.99433,-0.12588,-0.53757,9.7499,-0.0897,-0.0663,0.975,-0.05777,-0.08103,0.99326,0.30822,-0.70543,9.75898,-0.0624,-0.039,1.0374,-0.02643,-0.06229,1.03144,0.04636,-1.17672,10.06804
0.7674,-2.243022,0.256719,0.059504,0.576067,0.050185,0.0555,-0.760192,9.767287,-0.0039,-0.0858,0.9555,0.01418,-0.07984,0.96323,0.13908,-0.78292,9.44606,0.0078,0.0156,0.9204,-0.02984,-0.01963,0.99826,-0.08663,-0.72613,9.76854,-0.0702,-0.0663,1.0023,-0.03887,-0.08103,1.02078,0.11658,-0.75263,10.02028,-0.0234,-0.039,1.0101,0.01176,-0.06229,1.00397,0.05298,-0.77909,9.83426
0.7892,-1.270085,0.704047,-7.904278,0.836875,0.083302,-0.041404,-0.703079,9.705451,0.0975,-0.0858,0.9555,0.11142,-0.07984,0.96323,1.09267,-0.78292,9.44606,0.1053,-0.0039,0.9243,0.06501,-0.03837,1.00219,-0.25967,-1.65743,9.71215,0.0468,-0.0741,0.9789,0.07456,-0.0885,0.99719,-0.99173,-0.67712,9.77121,0.0897,-0.0351,1.0062,0.12252,-0.05849,1.00005,-0.00689,0.30516,9.89239
0.8111,-0.391609,-1.371146,-2.258414,0.833717,0.048698,-0.216227,-0.971631,9.85085,-0.0039,-0.1092,0.9867,0.01418,-0.10291,0.99531,0.13908,-1.00919,9.76061,0.0585,-0.0195,0.9555,0.01948,-0.05336,1.03362,-0.40821,-1.24714,10.06647,-0.0078,-0.0468,0.9906,0.02163,-0.06236,1.00899,-0.46728,-0.93301,9.86086,-0.0156,-0.0195,0.9984,0.0194,-0.04326,0.9922,-0.1285,-0.69719,9.71546
0.8330,2.045986,-0.199977,-4.504358,0.929989,0.039855,-0.197026,-1.036152,9.748589,0.0195,-0.1209,1.0062,0.03662,-0.11444,1.01535,0.35914,-1.12232,9.9572,0.1053,-0.0078,0.936,0.06501,-0.04212,1.01398,-0.29513,-1.66986,9.82746,0.0234,-0.0468,0.9477,0.05187,-0.06236,0.96573,-0.75357,-0.8761,9.43343,0.0078,-0.0234,1.0023,0.04232,-0.04707,0.99613,-0.09854,-0.47634,9.77627
0.8548,-0.14794,0.476273,1.101857,1.099526,0.024904,-0.086431,-1.081218,9.793672,-0.0429,-0.1287,0.9867,-0.02322,-0.12214,0.99531,-0.22769,-1.19774,9.76061,0.0312,0.0,0.9204,-0.00708,-0.03462,0.99826,-0.23118,-0.94994,9.74684,-0.0585,-0.0468,0.9828,-0.02752,-0.06236,1.00112,0.01614,-0.90694,9.79848,-0.0741,-0.0429,1.0179,-0.03788,-0.0661,1.01182,0.09701,-1.27026,9.86876
0.8767,0.159691,0.134686,6.528867,1.013213,0.034746,0.017389,-0.941342,9.792803,-0.1053,-0.1092,0.9906,-0.08306,-0.10291,0.99931,-0.81452,-1.00919,9.79993,-0.0507,0.0078,0.9165,-0.08675,-0.02712,0.99433,-0.16676,-0.16799,9.78888,-0.1521,-0.0546,0.975,-0.11826,-0.06983,0.99326,0.90462,-0.79655,9.75905,-0.1287,-0.0468,1.0179,-0.09135,-0.0699,1.01182,0.14622,-1.79164,9.82336
0.8985,-2.456854,0.356663,7.254697,0.821991,0.047819,0.061498,-0.863404,9.729191,-0.1092,-0.0936,0.9477,-0.0868,-0.08753,0.95521,-0.85119,-0.85834,9.36743,-0.0702,0.0156,0.9087,-0.10572,-0.01963,0.98648,-0.09618,0.0259,9.73082,-0.1638,-0.0585,0.9984,-0.1296,-0.07356,1.01685,1.00903,-0.7929,9.99638,-0.1326,-0.0507,1.0179,-0.09517,-0.07371,1.01182,0.18433,-1.82827,9.82213
0.9204,-1.670789,-0.251349,3.59129,0.615846,0.059544,-0.05262,-0.790256,9.834453,-0.0663,-0.0819,0.9672,-0.04566,-0.07599,0.97526,-0.44775,-0.74521,9.56402,-0.0312,0.0039,0.9321,-0.06778,-0.03087,1.01005,-0.19974,-0.36943,9.9232,-0.1053,-0.0663,0.9984,-0.07289,-0.08103,1.01685,0.45091,-0.73687,9.99174,-0.078,-0.0312,1.0179,-0.0417,-0.05468,1.01182,-0.0139,-1.30951,9.85885
